ID,trial,Age,Sex,Race,target.sex,condition,adaptor,voice,pitch.judgement,attraction,masc.fem,likability,friends,typicality
8,28,41,1,4,male,masc,748,730,2,4,3,3,4,7
8,29,41,1,4,male,masc,744,722,2,9,8,8,9,4
8,30,41,1,4,male,masc,737,719,2,5,5,6,4,6
8,31,41,1,4,male,masc,744,716,1,4,3,4,3,4
8,32,41,1,4,male,masc,721,714,2,4,4,6,6,5
8,33,41,1,4,male,masc,748,713,2,6,5,5,7,7
8,34,41,1,4,male,masc,750,710,1,5,5,4,6,5
8,35,41,1,4,male,masc,737,709,2,8,7,8,9,4
8,36,41,1,4,male,masc,748,707,2,4,3,3,4,8
8,37,41,1,4,male,masc,744,706,1,4,6,6,5,4
8,38,41,1,4,male,masc,737,704,1,2,2,2,3,8
8,39,41,1,4,male,masc,721,703,1,4,3,3,4,3
8,40,41,1,4,male,masc,750,701,2,4,3,4,6,5
9,1,29,1,4,female,masc,128,663,2,4,6,7,6,6
9,2,29,1,4,female,masc,173,508,1,6,7,6,6,7
9,3,29,1,4,female,masc,365,437,3,8,8,8,7,7
9,4,29,1,4,female,masc,377,417,1,9,9,8,8,6
9,5,29,1,4,female,masc,354,413,1,9,9,9,9,4
9,6,29,1,4,female,masc,354,406,1,9,9,9,9,3
9,7,29,1,4,female,masc,128,380,1,6,6,6,6,5
9,8,29,1,4,female,masc,173,371,1,6,8,7,6,8
9,9,29,1,4,female,masc,365,367,2,6,7,6,6,7
9,10,29,1,4,female,masc,377,354,2,9,9,9,9,4
9,11,29,1,4,female,masc,173,338,1,7,7,7,7,3
9,12,29,1,4,female,masc,377,333,1,8,9,8,8,6
9,13,29,1,4,female,masc,128,323,1,6,9,7,6,6
9,14,29,1,4,female,masc,354,319,2,6,6,5,5,5
9,15,29,1,4,female,masc,365,315,2,7,8,7,7,5
9,16,29,1,4,female,masc,128,199,1,7,8,8,7,3
9,17,29,1,4,female,masc,354,144,1,5,6,6,6,4
9,18,29,1,4,female,masc,173,121,1,7,6,6,7,4
9,19,29,1,4,female,masc,365,112,1,6,5,6,6,4
9,20,29,1,4,female,masc,377,103,1,7,6,7,7,5
9,21,29,1,4,male,masc,750,701,1,4,6,7,7,7
9,22,29,1,4,male,masc,721,703,1,3,6,7,7,7
9,23,29,1,4,male,masc,737,704,1,3,6,6,6,6
9,24,29,1,4,male,masc,744,706,1,3,6,7,7,6
